"","compound_and_ion","Tissue","Genotype","n","mean_value","std_deviation"
"37","GABA_4","CB","Control",4,0.0504152321827843,0.00852076596694062
"38","GABA_4","CB","Mutant",3,0.0228722676140771,0.0201167887041545
"39","Succinate_0","CB","Control",4,0.431865163456452,0.0315978791254443
"40","Succinate_0","CB","Mutant",3,0.701457616341442,0.195103175497999
"41","Succinate_1","CB","Control",4,0.175648426389701,0.00627560281708989
"42","Succinate_1","CB","Mutant",3,0.0906358020869263,0.053671394900798
"43","Succinate_2","CB","Control",4,0.235440445489693,0.00847010302038034
"44","Succinate_2","CB","Mutant",3,0.115620103633949,0.0699787844042866
"45","Succinate_3","CB","Control",4,0.122094869986348,0.0146638706239856
"46","Succinate_3","CB","Mutant",3,0.071095168610377,0.0554150787264546
"47","Succinate_4","CB","Control",4,0.0349510946778061,0.00627233460556392
"48","Succinate_4","CB","Mutant",3,0.0211913093273056,0.0182591975068054
"49","Fumarate_0","CB","Control",4,0.539482440557266,0.0344730070519368
"50","Fumarate_0","CB","Mutant",3,0.801679484493629,0.133951674541856
"51","Fumarate_1","CB","Control",4,0.144892643105945,0.00778715901557985
"52","Fumarate_1","CB","Mutant",3,0.0567566502369539,0.0344387997131127
"53","Fumarate_2","CB","Control",4,0.185068784410672,0.00944322733248534
"54","Fumarate_2","CB","Mutant",3,0.0673262309166572,0.0432469288092198
"55","Fumarate_3","CB","Control",4,0.104569409177977,0.0125753174669896
"56","Fumarate_3","CB","Mutant",3,0.0610541019682896,0.0449522568401202
"57","Fumarate_4","CB","Control",4,0.0259867227481401,0.00582939449940548
"58","Fumarate_4","CB","Mutant",3,0.0131835323844702,0.0120729485126991
"59","Malate_0","CB","Control",4,0.472302707593913,0.0363787111916543
"60","Malate_0","CB","Mutant",3,0.776214520464948,0.166415213200031
"61","Malate_1","CB","Control",4,0.164074469543984,0.0061679807084035
"62","Malate_1","CB","Mutant",3,0.0607198372110909,0.043019743822406
"63","Malate_2","CB","Control",4,0.210977900414424,0.0107191898860154
"64","Malate_2","CB","Mutant",3,0.0739087695984529,0.055710287947955
"65","Malate_3","CB","Control",4,0.121534090595869,0.0157979567411623
"66","Malate_3","CB","Mutant",3,0.074373367901626,0.0550631179263418
"67","Malate_4","CB","Control",4,0.0311108318518108,0.00656080622129365
"68","Malate_4","CB","Mutant",3,0.0147835048238826,0.0133481482398989
"69","Aspartate_0","CB","Control",4,0.47373051607133,0.0418333582515946
"70","Aspartate_0","CB","Mutant",3,0.909965238731794,0.0561079865064763
"71","Aspartate_1","CB","Control",4,0.157501057702825,0.00870746964687059
"72","Aspartate_1","CB","Mutant",3,0.0305665613109722,0.0171383059723018
"73","Aspartate_2","CB","Control",4,0.219823542819869,0.0124516460540322
"74","Aspartate_2","CB","Mutant",3,0.0286561046687963,0.0171021058507908
"75","Aspartate_3","CB","Control",4,0.118885103449176,0.0152346847162098
"76","Aspartate_3","CB","Mutant",3,0.026454468115917,0.0179366074133677
"77","Aspartate_4","CB","Control",4,0.0300597799567997,0.0068569621304619
"78","Aspartate_4","CB","Mutant",3,0.00435762717251995,0.0040191370087193
"79","Gln_0","CB","Control",4,0.657999952509977,0.0402629427898621
"80","Gln_0","CB","Mutant",3,0.891122382078017,0.0869947431797297
"81","Gln_1","CB","Control",4,0.0818058014260823,0.00767855921392515
"82","Gln_1","CB","Mutant",3,0.0299720162636796,0.0234356833709984
"83","Gln_2","CB","Control",4,0.168959126887025,0.0148401010727671
"84","Gln_2","CB","Mutant",3,0.0535564108653273,0.0425667354015041
"85","Gln_3","CB","Control",4,0.0561315029984787,0.00996976489447371
"86","Gln_3","CB","Mutant",3,0.0211880597188165,0.0174960861614664
"87","Gln_4","CB","Control",4,0.0266045664079343,0.00576005577617048
"88","Gln_4","CB","Mutant",3,0.00308348375886365,0.00267045587181247
"89","Gln_5","CB","Control",4,0.008499049770503,0.00252836298414565
"90","Gln_5","CB","Mutant",3,0.0010776473152959,0.000928163468199408
"91","Lactate_0","CT","Control",4,0.590971760271857,0.0250899897384866
"92","Lactate_0","CT","Mutant",3,0.580910130578291,0.228558913671945
"93","Lactate_1","CT","Control",4,0.0392410646393248,0.00198945553113121
"94","Lactate_1","CT","Mutant",3,0.0420691237923271,0.0248997116500874
"95","Lactate_2","CT","Control",4,0.0428447327040396,0.00163220448965455
"96","Lactate_2","CT","Mutant",3,0.0426131108874847,0.0255764620945647
"97","Lactate_3","CT","Control",4,0.326942442384778,0.0257836044635122
"98","Lactate_3","CT","Mutant",3,0.334407634741898,0.188447034651224
"99","Ala_0","CT","Control",4,0.581328442821136,0.0185983900620353
"100","Ala_0","CT","Mutant",3,0.649071540243939,0.221306756290878
"101","Ala_1","CT","Control",4,0.0341210679172377,0.00348925008896325
"102","Ala_1","CT","Mutant",3,0.0134774303375259,0.00845710823022828
"103","Ala_2","CT","Control",4,0.0413986402743548,0.00277974382591881
"104","Ala_2","CT","Mutant",3,0.0268120639810274,0.0180130555412832
"105","Ala_3","CT","Control",4,0.343151848987272,0.0166042806236807
"106","Ala_3","CT","Mutant",3,0.310638965437508,0.194867745699831
"107","Citrate_0","CT","Control",4,0.338906253872179,0.0198597190674371
"108","Citrate_0","CT","Mutant",3,0.664848446439933,0.214890548723583
"109","Citrate_1","CT","Control",4,0.11056916313427,0.00635921834261246
"110","Citrate_1","CT","Mutant",3,0.0513998923575932,0.0321200321064407
"111","Citrate_2","CT","Control",4,0.269987319181185,0.00629000243134101
"112","Citrate_2","CT","Mutant",3,0.168389090710258,0.0924965700731783
"113","Citrate_3","CT","Control",4,0.133406742998063,0.00861548808149546
"114","Citrate_3","CT","Mutant",3,0.0578542550904859,0.0431823854926993
"115","Citrate_4","CT","Control",4,0.0969512821635062,0.00759689564025136
"116","Citrate_4","CT","Mutant",3,0.0391032746686263,0.0320652991576523
"117","Citrate_5","CT","Control",4,0.0410503159980221,0.00485673157896846
"118","Citrate_5","CT","Mutant",3,0.0160121410971412,0.013559409812009
"119","GABA_0","CT","Control",4,0.444163358285448,0.0313518262686089
"120","GABA_0","CT","Mutant",3,0.790567586814806,0.146082172891177
"121","GABA_1","CT","Control",4,0.161114224417588,0.00849570510795703
"122","GABA_1","CT","Mutant",3,0.0586822528256995,0.0387126060910051
"123","GABA_2","CT","Control",4,0.237962185046711,0.00947438462081506
"124","GABA_2","CT","Mutant",3,0.106434855885057,0.0704386399819705
"125","GABA_3","CT","Control",4,0.118234766855917,0.0113005708264135
"126","GABA_3","CT","Mutant",3,0.0334256747592677,0.0283942437080384
"127","GABA_4","CT","Control",4,0.0385254653943357,0.00614757163379306
"128","GABA_4","CT","Mutant",3,0.0108896297151703,0.00926191269510803
"129","Succinate_0","CT","Control",4,0.400582189819759,0.0260978060901699
"130","Succinate_0","CT","Mutant",3,0.706618033334362,0.193999848897109
"131","Succinate_1","CT","Control",4,0.183368320392012,0.00721693050550895
"132","Succinate_1","CT","Mutant",3,0.0847145839473645,0.0527539465717677
"133","Succinate_2","CT","Control",4,0.243043397816393,0.00688030111002914
"134","Succinate_2","CT","Mutant",3,0.126047811136258,0.076126272642639
"135","Succinate_3","CT","Control",4,0.137035801774387,0.0113452245239907
"136","Succinate_3","CT","Mutant",3,0.0662692528107705,0.0518251628020249
"137","Succinate_4","CT","Control",4,0.0359702901974499,0.00532429054374112
"138","Succinate_4","CT","Mutant",3,0.0163503187712449,0.0140143836699986
"139","Fumarate_0","CT","Control",4,0.491707204281259,0.0264939777477104
"140","Fumarate_0","CT","Mutant",3,0.804584475668571,0.136038249784434
"141","Fumarate_1","CT","Control",4,0.157797481443649,0.00672512279946806
"142","Fumarate_1","CT","Mutant",3,0.055490807421596,0.0345161984713093
"143","Fumarate_2","CT","Control",4,0.205290568531812,0.00751923757284813
"144","Fumarate_2","CT","Mutant",3,0.0762251804502538,0.0525339822334133
"145","Fumarate_3","CT","Control",4,0.116499316321623,0.0096655862646836
"146","Fumarate_3","CT","Mutant",3,0.0534437041209785,0.0403204953448982
"147","Fumarate_4","CT","Control",4,0.0287054294216557,0.00624268584471626
"148","Fumarate_4","CT","Mutant",3,0.0102558323386005,0.00909736140549145
"149","Malate_0","CT","Control",4,0.419769583562244,0.0285994074824909
"150","Malate_0","CT","Mutant",3,0.787796924269717,0.159394470666195
"151","Malate_1","CT","Control",4,0.179578562150675,0.00429124543481733
"152","Malate_1","CT","Mutant",3,0.056204688343478,0.041528299160174
"153","Malate_2","CT","Control",4,0.233619827721844,0.00781316239329328
"154","Malate_2","CT","Mutant",3,0.0814278641406297,0.0614180752635601
"155","Malate_3","CT","Control",4,0.134574405375269,0.012425486798712
"156","Malate_3","CT","Mutant",3,0.0629741186097979,0.0472479324045916
"157","Malate_4","CT","Control",4,0.0324576211899673,0.00721956217730272
"158","Malate_4","CT","Mutant",3,0.0115964046363768,0.0095794051465762
"159","Aspartate_0","CT","Control",4,0.42093301498067,0.0303246070624801
"160","Aspartate_0","CT","Mutant",3,0.8610195835921,0.0980334799808907
"161","Aspartate_1","CT","Control",4,0.17379101690072,0.00690400602535754
"162","Aspartate_1","CT","Mutant",3,0.0397871323614757,0.0259180689041874
"163","Aspartate_2","CT","Control",4,0.238295849858265,0.00781124241469202
"164","Aspartate_2","CT","Mutant",3,0.0548754270785619,0.0387642553118586
"165","Aspartate_3","CT","Control",4,0.134205771108796,0.0129764833047757
"166","Aspartate_3","CT","Mutant",3,0.0383016869594797,0.0280992653009995
"167","Aspartate_4","CT","Control",4,0.0327743471515484,0.00628614425868698
"168","Aspartate_4","CT","Mutant",3,0.00601617000838286,0.00557952895595253
"169","Gln_0","CT","Control",4,0.548051946622542,0.0323534053044652
"170","Gln_0","CT","Mutant",3,0.860002277624395,0.109416399545315
"171","Gln_1","CT","Control",4,0.0940901018257433,0.00586878315298518
"172","Gln_1","CT","Mutant",3,0.0316051814970758,0.0252124873692798
"173","Gln_2","CT","Control",4,0.228230328244972,0.00964784876596533
"174","Gln_2","CT","Mutant",3,0.0782337384807631,0.0591634128430607
"175","Gln_3","CT","Control",4,0.0749570600547229,0.00914739340248462
"176","Gln_3","CT","Mutant",3,0.0214478862690834,0.0177826308001605
"177","Gln_4","CT","Control",4,0.0421379960267591,0.00630554418906604
"178","Gln_4","CT","Mutant",3,0.00693121679407065,0.00586858215424447
"179","Gln_5","CT","Control",4,0.0125325672252605,0.00280948729769911
"180","Gln_5","CT","Mutant",3,0.00177969933461204,0.00154633478342879
"181","Lactate_0","HP","Control",4,0.60538531683623,0.0267932103001464
"182","Lactate_0","HP","Mutant",3,0.612779103453241,0.242029093212527
"183","Lactate_1","HP","Control",4,0.0348093178509165,0.00285513476792879
"184","Lactate_1","HP","Mutant",3,0.021709872090163,0.00786751657071014
"185","Lactate_2","HP","Control",4,0.040470319723672,0.00247550469668419
"186","Lactate_2","HP","Mutant",3,0.03341380357967,0.021000412619085
"187","Lactate_3","HP","Control",4,0.319335045589182,0.025404671505132
"188","Lactate_3","HP","Mutant",3,0.332097220876926,0.213433785774423
"189","Ala_0","HP","Control",4,0.57751486981012,0.0184846093788832
"190","Ala_0","HP","Mutant",3,0.66065513367072,0.234334064575404
"191","Ala_1","HP","Control",4,0.0364042824951441,0.00274251912748999
"192","Ala_1","HP","Mutant",3,0.0135662000521551,0.00842316037328734
"193","Ala_2","HP","Control",4,0.0419517253109428,0.00285793287118057
"194","Ala_2","HP","Mutant",3,0.0247571665171041,0.0201826732082561
"195","Ala_3","HP","Control",4,0.344129122383794,0.0163346704176062
"196","Ala_3","HP","Mutant",3,0.301021499760021,0.205769681039967
"197","Citrate_0","HP","Control",4,0.419996890994106,0.027274546328593
"198","Citrate_0","HP","Mutant",3,0.676942873140014,0.260553644607728
"199","Citrate_1","HP","Control",4,0.105504309130994,0.00263487445870104
"200","Citrate_1","HP","Mutant",3,0.0551470126094379,0.0481048165399544
"201","Citrate_2","HP","Control",4,0.265853296773449,0.00825214212813455
"202","Citrate_2","HP","Mutant",3,0.144126226763493,0.10917733697285
"203","Citrate_3","HP","Control",4,0.101966996282079,0.0102682120030158
"204","Citrate_3","HP","Mutant",3,0.0628664921249303,0.0510063388418432
"205","Citrate_4","HP","Control",4,0.0743969123420381,0.00550060198623793
"206","Citrate_4","HP","Mutant",3,0.037515199114262,0.0363605061645227
"207","Citrate_5","HP","Control",4,0.0273709487296067,0.00411844540664994
"208","Citrate_5","HP","Mutant",3,0.0189191714303918,0.0186869192027248
"209","GABA_0","HP","Control",4,0.55354765288786,0.0323795831550192
"210","GABA_0","HP","Mutant",3,0.822517403429871,0.146421587157695
"211","GABA_1","HP","Control",4,0.126333194478669,0.00631122931490194
"212","GABA_1","HP","Mutant",3,0.0494470551317505,0.0412004540848277
"213","GABA_2","HP","Control",4,0.207008371305821,0.0122615489993848
"214","GABA_2","HP","Mutant",3,0.0915649414301853,0.0723113282598022
"215","GABA_3","HP","Control",4,0.0869764777570068,0.0108896327873827
"216","GABA_3","HP","Mutant",3,0.0282086720149663,0.0260418059757465
"217","GABA_4","HP","Control",4,0.0261343035706424,0.00465099918260092
"218","GABA_4","HP","Mutant",3,0.00826192799322721,0.00742269373693197
"219","Succinate_0","HP","Control",4,0.493055121650607,0.0286336996217068
"220","Succinate_0","HP","Mutant",3,0.721492589272935,0.241719174946294
"221","Succinate_1","HP","Control",4,0.153805675183558,0.00660446920846893
"222","Succinate_1","HP","Mutant",3,0.0785828004346385,0.0685898945195606
"223","Succinate_2","HP","Control",4,0.221780959364046,0.0102794964231045
"224","Succinate_2","HP","Mutant",3,0.107952448376285,0.0936203261728778
"225","Succinate_3","HP","Control",4,0.105773030376911,0.0110879913075641
"226","Succinate_3","HP","Mutant",3,0.074121410734491,0.0623540112948406
"227","Succinate_4","HP","Control",4,0.0255852134248776,0.00448966231643638
"228","Succinate_4","HP","Mutant",3,0.0178507511816506,0.0186860527284264
"229","Fumarate_0","HP","Control",4,0.568277091706469,0.0235044390051291
"230","Fumarate_0","HP","Mutant",3,0.793093182521099,0.165690417857671
"231","Fumarate_1","HP","Control",4,0.136198438297366,0.00402748566920559
"232","Fumarate_1","HP","Mutant",3,0.0559990053016883,0.0429578671400048
"233","Fumarate_2","HP","Control",4,0.183513042047198,0.00933567200867254
"234","Fumarate_2","HP","Mutant",3,0.0693474310272121,0.0614237417197164
"235","Fumarate_3","HP","Control",4,0.0928946303383011,0.00782722586676724
"236","Fumarate_3","HP","Mutant",3,0.0687411568429622,0.0521467375453609
"237","Fumarate_4","HP","Control",4,0.0191167976106662,0.00407165432392296
"238","Fumarate_4","HP","Mutant",3,0.0128192243070385,0.0125769752702684
"239","Malate_0","HP","Control",4,0.523972719296257,0.0280226458302525
"240","Malate_0","HP","Mutant",3,0.778223363595866,0.199297480880974
"241","Malate_1","HP","Control",4,0.148573263850317,0.00948883097772893
"242","Malate_1","HP","Mutant",3,0.0572857536944392,0.0554363838609291
"243","Malate_2","HP","Control",4,0.203284623817253,0.0123376336906011
"244","Malate_2","HP","Mutant",3,0.0742152176633834,0.0733468322248609
"245","Malate_3","HP","Control",4,0.103775987704002,0.00756753725701035
"246","Malate_3","HP","Mutant",3,0.0747360089029029,0.0582026433563274
"247","Malate_4","HP","Control",4,0.0203934053321712,0.00502459531816188
"248","Malate_4","HP","Mutant",3,0.0155396561434083,0.0153991391466666
"249","Aspartate_0","HP","Control",4,0.520572904351347,0.0307796493992921
"250","Aspartate_0","HP","Mutant",3,0.850287097970015,0.141084788036212
"251","Aspartate_1","HP","Control",4,0.143399125272869,0.00688752530603505
"252","Aspartate_1","HP","Mutant",3,0.0389350058298885,0.0390118451125916
"253","Aspartate_2","HP","Control",4,0.212508322006329,0.0102571786400882
"254","Aspartate_2","HP","Mutant",3,0.0515526940653417,0.0550025939913317
"255","Aspartate_3","HP","Control",4,0.101929025516083,0.0107154530200961
"256","Aspartate_3","HP","Mutant",3,0.0505236965504838,0.0399959781542485
"257","Aspartate_4","HP","Control",4,0.0215906228533717,0.00493330698035528
"258","Aspartate_4","HP","Mutant",3,0.00870150558427111,0.00957059719693275
"259","Gln_0","HP","Control",4,0.637230614671813,0.0296583022578668
"260","Gln_0","HP","Mutant",3,0.884334790883869,0.0986169857172137
"261","Gln_1","HP","Control",4,0.0756138471818855,0.00486772584287474
"262","Gln_1","HP","Mutant",3,0.026528715155653,0.0237261898864981
"263","Gln_2","HP","Control",4,0.192175398973777,0.0108878277337149
"264","Gln_2","HP","Mutant",3,0.0644573671485722,0.0543486921013255
"265","Gln_3","HP","Control",4,0.0564632053715669,0.00751047980948472
"266","Gln_3","HP","Mutant",3,0.0189947091767522,0.0163627458057281
"267","Gln_4","HP","Control",4,0.0294485923069097,0.00488805752913221
"268","Gln_4","HP","Mutant",3,0.0043923897521691,0.00398579063086397
"269","Gln_5","HP","Control",4,0.0090683414940474,0.00184372635926322
"270","Gln_5","HP","Mutant",3,0.00129202788298477,0.00103257948320787
