"","compound_and_ion","Tissue","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"47","GABA_1","CT","Control","Mutant",4,3,0.0403,"*",0.1209,"ns"
"48","GABA_1","HP","Control","Mutant",4,3,0.0814,"ns",0.1366,"ns"
"49","GABA_2","CB","Control","Mutant",4,3,0.148,"ns",0.2454,"ns"
"50","GABA_2","CT","Control","Mutant",4,3,0.0818,"ns",0.2454,"ns"
"51","GABA_2","HP","Control","Mutant",4,3,0.107,"ns",0.2454,"ns"
"52","GABA_3","CB","Control","Mutant",4,3,0.0888,"ns",0.0924,"ns"
"53","GABA_3","CT","Control","Mutant",4,3,0.0251,"*",0.0753,"ns"
"54","GABA_3","HP","Control","Mutant",4,3,0.0462,"*",0.0924,"ns"
"55","GABA_4","CB","Control","Mutant",4,3,0.128,"ns",0.128,"ns"
"56","GABA_4","CT","Control","Mutant",4,3,0.0169,"*",0.0507,"ns"
"57","GABA_4","HP","Control","Mutant",4,3,0.032,"*",0.064,"ns"
"58","Succinate_0","CB","Control","Mutant",4,3,0.136,"ns",0.33,"ns"
"59","Succinate_0","CT","Control","Mutant",4,3,0.11,"ns",0.33,"ns"
"60","Succinate_0","HP","Control","Mutant",4,3,0.242,"ns",0.33,"ns"
"61","Succinate_1","CB","Control","Mutant",4,3,0.11,"ns",0.2445,"ns"
"62","Succinate_1","CT","Control","Mutant",4,3,0.0815,"ns",0.2445,"ns"
"63","Succinate_1","HP","Control","Mutant",4,3,0.197,"ns",0.2445,"ns"
"64","Succinate_2","CB","Control","Mutant",4,3,0.0958,"ns",0.2874,"ns"
"65","Succinate_2","CT","Control","Mutant",4,3,0.116,"ns",0.2874,"ns"
"66","Succinate_2","HP","Control","Mutant",4,3,0.169,"ns",0.2874,"ns"
"67","Succinate_3","CB","Control","Mutant",4,3,0.249,"ns",0.498,"ns"
"68","Succinate_3","CT","Control","Mutant",4,3,0.137,"ns",0.411,"ns"
"69","Succinate_3","HP","Control","Mutant",4,3,0.473,"ns",0.498,"ns"
"70","Succinate_4","CB","Control","Mutant",4,3,0.321,"ns",0.642,"ns"
"71","Succinate_4","CT","Control","Mutant",4,3,0.125,"ns",0.375,"ns"
"72","Succinate_4","HP","Control","Mutant",4,3,0.55,"ns",0.642,"ns"
"73","Fumarate_0","CB","Control","Mutant",4,3,0.0706,"ns",0.162,"ns"
"74","Fumarate_0","CT","Control","Mutant",4,3,0.054,"ns",0.162,"ns"
"75","Fumarate_0","HP","Control","Mutant",4,3,0.141,"ns",0.162,"ns"
"76","Fumarate_1","CB","Control","Mutant",4,3,0.0428,"*",0.0984,"ns"
"77","Fumarate_1","CT","Control","Mutant",4,3,0.0328,"*",0.0984,"ns"
"78","Fumarate_1","HP","Control","Mutant",4,3,0.0828,"ns",0.0984,"ns"
"79","Fumarate_2","CB","Control","Mutant",4,3,0.0381,"*",0.1143,"ns"
"80","Fumarate_2","CT","Control","Mutant",4,3,0.0491,"*",0.1143,"ns"
"81","Fumarate_2","HP","Control","Mutant",4,3,0.082,"ns",0.1143,"ns"
"82","Fumarate_3","CB","Control","Mutant",4,3,0.232,"ns",0.464,"ns"
"83","Fumarate_3","CT","Control","Mutant",4,3,0.108,"ns",0.324,"ns"
"84","Fumarate_3","HP","Control","Mutant",4,3,0.507,"ns",0.507,"ns"
"85","Fumarate_4","CB","Control","Mutant",4,3,0.199,"ns",0.398,"ns"
"86","Fumarate_4","CT","Control","Mutant",4,3,0.0487,"*",0.1461,"ns"
"87","Fumarate_4","HP","Control","Mutant",4,3,0.481,"ns",0.481,"ns"
"88","Malate_0","CB","Control","Mutant",4,3,0.0822,"ns",0.1644,"ns"
"89","Malate_0","CT","Control","Mutant",4,3,0.0541,"ns",0.1623,"ns"
"90","Malate_0","HP","Control","Mutant",4,3,0.156,"ns",0.1644,"ns"
"91","Malate_1","CB","Control","Mutant",4,3,0.0512,"ns",0.1044,"ns"
"92","Malate_1","CT","Control","Mutant",4,3,0.0348,"*",0.1044,"ns"
"93","Malate_1","HP","Control","Mutant",4,3,0.101,"ns",0.1044,"ns"
"94","Malate_2","CB","Control","Mutant",4,3,0.0475,"*",0.1425,"ns"
"95","Malate_2","CT","Control","Mutant",4,3,0.0487,"*",0.1425,"ns"
"96","Malate_2","HP","Control","Mutant",4,3,0.0899,"ns",0.1425,"ns"
"97","Malate_3","CB","Control","Mutant",4,3,0.273,"ns",0.546,"ns"
"98","Malate_3","CT","Control","Mutant",4,3,0.113,"ns",0.339,"ns"
"99","Malate_3","HP","Control","Mutant",4,3,0.479,"ns",0.546,"ns"
"100","Malate_4","CB","Control","Mutant",4,3,0.155,"ns",0.31,"ns"
"101","Malate_4","CT","Control","Mutant",4,3,0.0392,"*",0.1176,"ns"
"102","Malate_4","HP","Control","Mutant",4,3,0.645,"ns",0.645,"ns"
"103","Aspartate_0","CB","Control","Mutant",4,3,0.00061,"***",0.00183,"**"
"104","Aspartate_0","CT","Control","Mutant",4,3,0.0117,"*",0.0234,"*"
"105","Aspartate_0","HP","Control","Mutant",4,3,0.0515,"ns",0.0515,"ns"
"106","Aspartate_1","CB","Control","Mutant",4,3,0.00189,"**",0.00567,"**"
"107","Aspartate_1","CT","Control","Mutant",4,3,0.00933,"**",0.01866,"*"
"108","Aspartate_1","HP","Control","Mutant",4,3,0.0407,"*",0.0407,"*"
"109","Aspartate_2","CB","Control","Mutant",4,3,0.000185,"***",0.000555,"***"
"110","Aspartate_2","CT","Control","Mutant",4,3,0.0126,"*",0.0252,"*"
"111","Aspartate_2","HP","Control","Mutant",4,3,0.0339,"*",0.0339,"*"
"112","Aspartate_3","CB","Control","Mutant",4,3,0.00203,"**",0.00609,"**"
"113","Aspartate_3","CT","Control","Mutant",4,3,0.0164,"*",0.0328,"*"
"114","Aspartate_3","HP","Control","Mutant",4,3,0.15,"ns",0.15,"ns"
"115","Aspartate_4","CB","Control","Mutant",4,3,0.00176,"**",0.00528,"**"
"116","Aspartate_4","CT","Control","Mutant",4,3,0.00229,"**",0.00528,"**"
"117","Aspartate_4","HP","Control","Mutant",4,3,0.129,"ns",0.129,"ns"
"118","Gln_0","CB","Control","Mutant",4,3,0.0295,"*",0.0885,"ns"
"119","Gln_0","CT","Control","Mutant",4,3,0.032,"*",0.0885,"ns"
"120","Gln_0","HP","Control","Mutant",4,3,0.0416,"*",0.0885,"ns"
"121","Gln_1","CB","Control","Mutant",4,3,0.0525,"ns",0.1362,"ns"
"122","Gln_1","CT","Control","Mutant",4,3,0.0454,"*",0.1362,"ns"
"123","Gln_1","HP","Control","Mutant",4,3,0.0656,"ns",0.1362,"ns"
"124","Gln_2","CB","Control","Mutant",4,3,0.0334,"*",0.1002,"ns"
"125","Gln_2","CT","Control","Mutant",4,3,0.0457,"*",0.1002,"ns"
"126","Gln_2","HP","Control","Mutant",4,3,0.0516,"ns",0.1002,"ns"
"127","Gln_3","CB","Control","Mutant",4,3,0.0538,"ns",0.0858,"ns"
"128","Gln_3","CT","Control","Mutant",4,3,0.0206,"*",0.0618,"ns"
"129","Gln_3","HP","Control","Mutant",4,3,0.0429,"*",0.0858,"ns"
"130","Gln_4","CB","Control","Mutant",4,3,0.00133,"**",0.002232,"**"
"131","Gln_4","CT","Control","Mutant",4,3,0.000863,"***",0.002232,"**"
"132","Gln_4","HP","Control","Mutant",4,3,0.000744,"***",0.002232,"**"
"133","Gln_5","CB","Control","Mutant",4,3,0.00575,"**",0.00575,"**"
"134","Gln_5","CT","Control","Mutant",4,3,0.0016,"**",0.0032,"**"
"135","Gln_5","HP","Control","Mutant",4,3,0.00104,"**",0.00312,"**"
