"","compound_and_ion","Tissue","Genotype","n","mean_value","std_deviation"
"57","Gln_2","CB","Control",8,0.161987283515388,0.0178093689269599
"58","Gln_2","CB","Mutant",5,0.0692902335415922,0.0115594723319405
"59","Gln_3","CB","Control",8,0.0513324376808548,0.0126745459302373
"60","Gln_3","CB","Mutant",5,0.023631130582086,0.00883740390010585
"61","Lactate_0","CT","Control",8,0.608566972177677,0.0585139180732187
"62","Lactate_0","CT","Mutant",5,0.536516913230294,0.110138425189128
"63","Lactate_2","CT","Control",8,0.0381083269587285,0.00779797857283613
"64","Lactate_2","CT","Mutant",5,0.0400246717112553,0.0172322962806589
"65","Lactate_3","CT","Control",8,0.319826834412597,0.0482429966511569
"66","Lactate_3","CT","Mutant",5,0.391897135827887,0.0844621830417797
"67","Ala_0","CT","Control",8,0.604064655078766,0.0548854806673969
"68","Ala_0","CT","Mutant",5,0.608389101366401,0.11934795887097
"69","Ala_2","CT","Control",8,0.0384452927544004,0.00676075412350207
"70","Ala_2","CT","Mutant",5,0.029159030738352,0.010235708155663
"71","Ala_3","CT","Control",8,0.326651483294637,0.0424133464134402
"72","Ala_3","CT","Mutant",5,0.347614502581498,0.104571513169464
"73","Citrate_0","CT","Control",8,0.373028195878185,0.0558750670571006
"74","Citrate_0","CT","Mutant",5,0.601683784518564,0.0673384020234954
"75","Citrate_2","CT","Control",8,0.267148976635337,0.00871846589831435
"76","Citrate_2","CT","Mutant",5,0.206945964865276,0.0202128553686884
"77","Citrate_3","CT","Control",8,0.120605905680399,0.0196083428264624
"78","Citrate_3","CT","Mutant",5,0.0648719451385738,0.020786550926363
"79","Glu_0","CT","Control",8,0.438036677534175,0.0613115760332545
"80","Glu_0","CT","Mutant",5,0.722815064955655,0.0727805640480836
"81","Glu_2","CT","Control",8,0.267233284604343,0.0155780721239396
"82","Glu_2","CT","Mutant",5,0.153791938856884,0.0278123995099245
"83","Glu_3","CT","Control",8,0.0991079734982079,0.0211829944024802
"84","Glu_3","CT","Mutant",5,0.0405112628835542,0.0181835959944705
"85","GABA_0","CT","Control",8,0.483762140541017,0.0562076768450941
"86","GABA_0","CT","Mutant",5,0.769040298362879,0.0855587612690876
"87","GABA_2","CT","Control",8,0.226439364177142,0.0187174720278969
"88","GABA_2","CT","Mutant",5,0.118973520575742,0.03732545731798
"89","GABA_3","CT","Control",8,0.103208196660339,0.0221988368808496
"90","GABA_3","CT","Mutant",5,0.0354882162587214,0.0190073121829193
"91","Succinate_0","CT","Control",8,0.440168264015623,0.0621081917675118
"92","Succinate_0","CT","Mutant",5,0.656706261030738,0.0746291446758724
"93","Succinate_2","CT","Control",8,0.233157004761917,0.0184240374824829
"94","Succinate_2","CT","Mutant",5,0.151455209575037,0.0259714468942933
"95","Succinate_3","CT","Control",8,0.119356255070208,0.0270023964658989
"96","Succinate_3","CT","Mutant",5,0.072271946583931,0.0280628796201241
"97","Fumarate_0","CT","Control",8,0.539906784221587,0.0694355137443798
"98","Fumarate_0","CT","Mutant",5,0.785699988629558,0.0707320709769054
"99","Fumarate_2","CT","Control",8,0.188782171136479,0.0237522727884313
"100","Fumarate_2","CT","Mutant",5,0.0853833210001757,0.0250809608427182
"101","Fumarate_3","CT","Control",8,0.09925110514603,0.0254518100506201
"102","Fumarate_3","CT","Mutant",5,0.054879046396434,0.0247698067133133
"103","Malate_0","CT","Control",8,0.456715326201083,0.059289046759403
"104","Malate_0","CT","Mutant",5,0.770064620878726,0.0862102642886854
"105","Malate_2","CT","Control",8,0.22197019048222,0.0195928489294063
"106","Malate_2","CT","Mutant",5,0.0912980781234918,0.0314673395512606
"107","Malate_3","CT","Control",8,0.119026445923576,0.0246233087076256
"108","Malate_3","CT","Mutant",5,0.0637376011091347,0.0287447140485342
"109","Aspartate_0","CT","Control",8,0.461242769677173,0.0596135892055681
"110","Aspartate_0","CT","Mutant",5,0.837646175325647,0.0681404737759461
"111","Aspartate_2","CT","Control",8,0.226608516719243,0.0186522473169885
"112","Aspartate_2","CT","Mutant",5,0.06523413067276,0.0256537360749254
"113","Aspartate_3","CT","Control",8,0.117859224255346,0.0246141371495831
"114","Aspartate_3","CT","Mutant",5,0.0438063703097644,0.019693375633562
"115","Gln_0","CT","Control",8,0.588219437077968,0.0547589978099259
"116","Gln_0","CT","Mutant",5,0.842301060372089,0.0636439205988527
"117","Gln_2","CT","Control",8,0.212343717925504,0.0202145731356174
"118","Gln_2","CT","Mutant",5,0.0903885826234648,0.031401099347978
"119","Gln_3","CT","Control",8,0.0650501439741882,0.0147201982054721
"120","Gln_3","CT","Mutant",5,0.0222319916634152,0.0124497638046408
"121","Lactate_0","HP","Control",7,0.625110802688965,0.0546455864026123
"122","Lactate_0","HP","Mutant",5,0.598499988779518,0.147198564693399
"123","Lactate_2","HP","Control",7,0.0369074293498066,0.00747493484275372
